.47], 20/1/100 21:39:44
Accel: [0.04, -0.01, 1.02], Gyro: [0.28, -0.28, -0.07], Temp: [24.32, 75.77], 20/1/100 21:46:55
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.35, -0.14], Temp: [24.36, 75.85], 20/1/100 21:46:57
Accel: [0.03, -0.01, 1.02], Gyro: [0.28, -0.07, 0.00], Temp: [24.36, 75.84], 20/1/100 21:46:58
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.28, -0.14], Temp: [24.34, 75.82], 20/1/100 21:51:1
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.42, -0.14], Temp: [24.40, 75.85], 20/1/100 21:51:3
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.56, -0.14], Temp: [24.41, 75.94], 20/1/100 21:51:4
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.35, -0.21], Temp: [24.42, 75.95], 20/1/100 21:51:6
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.35, -0.14], Temp: [24.40, 75.92], 20/1/100 21:51:7
Accel: [0.03, -0.01, 1.02], Gyro: [0.49, -0.21, -0.21], Temp: [24.39, 75.90], 20/1/100 21:51:8
Accel: [0.04, -0.01, 1.02], Gyro: [0.28, -0.28, -0.14], Temp: [24.38, 75.88], 20/1/100 21:51:10
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.21, -0.07], Temp: [24.42, 75.95], 20/1/100 21:51:11
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.28, -0.14], Temp: [24.85, 76.73], 20/1/100 21:53:49
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.28, -0.14], Temp: [24.78, 76.61], 20/1/100 21:53:50
Accel: [0.03, -0.01, 1.02], Gyro: [0.28, -0.63, -0.21], Temp: [24.80, 76.65], 20/1/100 21:53:51
Accel: [0.03, -0.01, 1.02], Gyro: [0.42, 0.07, -0.07], Temp: [24.80, 76.63], 20/1/100 21:53:53
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.49, -0.21], Temp: [24.79, 76.61], 20/1/100 21:53:54
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, 0.00, -0.07], Temp: [24.82, 76.68], 20/1/100 21:53:56
Accel: [0.03, -0.02, 1.02], Gyro: [0.49, -0.21, -0.07], Temp: [24.76, 76.56], 20/1/100 21:54:5
Accel: [0.03, -0.01, 1.02], Gyro: [0.28, -0.35, -0.07], Temp: [24.74, 76.63], 20/1/100 21:54:7
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.28, -0.28], Temp: [24.78, 76.60], 20/1/100 21:54:8
Accel: [0.03, -0.01, 1.03], Gyro: [0.49, -0.49, -0.28], Temp: [24.79, 76.62], 20/1/100 21:54:10
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, 0.07, 0.00], Temp: [24.82, 76.68], 20/1/100 21:54:11
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.35, 0.00], Temp: [24.79, 76.61], 20/1/100 21:54:13
Accel: [0.04, -0.01, 1.02], Gyro: [0.21, -0.14, -0.14], Temp: [24.80, 76.65], 20/1/100 21:54:14
Accel: [0.04, -0.01, 1.03], Gyro: [0.42, -0.28, -0.14], Temp: [24.81, 76.66], 20/1/100 21:54:15
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, 0.00, 0.07], Temp: [24.79, 76.62], 20/1/100 21:54:17
Accel: [0.04, -0.01, 1.02], Gyro: [0.28, -0.21, -0.14], Temp: [24.77, 76.59], 20/1/100 21:54:18
Accel: [0.04, -0.01, 1.02], Gyro: [0.49, -0.21, -0.21], Temp: [24.79, 76.63], 20/1/100 21:54:20
Accel: [0.03, -0.01, 1.02], Gyro: [0.42, -0.21, -0.07], Temp: [24.80, 76.63], 20/1/100 21:54:21
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.28, -0.14], Temp: [24.82, 76.65], 20/1/100 21:54:22
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.21, -0.14], Temp: [24.79, 76.61], 5/2/25 13:2:44
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.14, -0.14], Temp: [24.75, 76.56], 5/2/25 13:2:45
Accel: [0.03, -0.01, 1.02], Gyro: [0.35, -0.28, -0.07], Temp: [24.69, 76.44], 5/2/25 13:2:47
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.28, -0.14], Temp: [24.71, 76.49], 5/2/25 13:2:48
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.42, -0.14], Temp: [24.71, 76.47], 5/2/25 13:2:49
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.63, -0.21], Temp: [24.68, 76.35], 5/2/25 13:2:51
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, 0.00, -0.07], Temp: [24.70, 76.45], 5/2/25 13:2:52
Accel: [0.03, -0.01, 1.02], Gyro: [0.28, -0.07, -0.07], Temp: [24.68, 76.42], 5/2/25 13:2:54
Accel: [0.03, -0.01, 1.02], Gyro: [0.35, -0.28, -0.14], Temp: [24.72, 76.49], 5/2/25 13:2:55
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.21, 0.00], Temp: [24.68, 76.43], 5/2/25 13:2:57
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -17.78, -0.21], Temp: [24.66, 76.38], 5/2/25 13:2:58
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.21, -0.14], Temp: [24.69, 76.44], 5/2/25 13:3:0
Accel: [0.04, -0.01, 1.02], Gyro: [0.28, -0.07, -0.21], Temp: [24.68, 76.42], 5/2/25 13:3:1
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.49, -0.21], Temp: [24.66, 76.39], 5/2/25 13:3:3
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.14, 0.00], Temp: [24.71, 76.49], 5/2/25 13:3:4
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.70, -0.28], Temp: [24.65, 76.37], 5/2/25 13:3:6
Accel: [0.04, -0.01, 1.02], Gyro: [0.49, -0.14, -0.07], Temp: [24.68, 76.43], 5/2/25 13:3:7
Accel: [0.04, -0.01, 1.02], Gyro: [0.49, -0.28, -0.14], Temp: [24.65, 76.37], 5/2/25 13:3:9
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.70, -0.21], Temp: [24.64, 76.36], 5/2/25 13:3:10
Accel: [0.04, -0.01, 1.02], Gyro: [0.28, -0.07, -0.21], Temp: [24.70, 76.46], 5/2/25 13:3:12
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, 0.07, -0.07], Temp: [24.73, 76.51], 5/2/25 13:3:13
Accel: [0.04, -0.01, 1.02], Gyro: [0.49, -0.07, -0.07], Temp: [24.71, 76.48], 5/2/25 13:3:15
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.28, -0.07], Temp: [24.69, 76.44], 5/2/25 13:3:16
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.28, -0.14], Temp: [25.15, 77.27], 5/2/25 13:12:29
