Time,Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
4:10:32AM,-1.04,0.48,-0.18,-69.02,-78.47,124.6
4:10:32AM,-1,0.24,0.03,-51.66,-84.28,117.04
4:10:32AM,-0.93,0.1,0.18,-32.27,-73.15,111.86
4:10:32AM,-0.86,0.01,0.16,-23.59,-56.07,109.76
4:10:32AM,-0.84,-0.04,0.07,-12.67,-45.01,107.38
4:10:32AM,-0.8,-0.01,0.01,-5.04,-40.88,106.82
4:10:32AM,-0.73,0.08,-0.02,1.61,-34.93,102.83
4:10:32AM,-0.68,0.16,-0.06,8.68,-25.2,93.17
4:10:32AM,-0.69,0.18,-0.13,14.7,-19.46,85.19
4:10:32AM,-0.66,0.22,-0.14,17.43,-16.24,74.69
4:10:32AM,-0.57,0.22,-0.09,14.7,-8.96,64.47
4:10:32AM,-0.47,0.17,-0.03,16.66,2.94,53.13
4:10:32AM,-0.41,0.09,0,24.99,11.69,41.23
4:10:32AM,-0.33,0.06,0.04,33.67,20.16,30.17
4:10:32AM,-0.25,0.06,0.08,36.96,31.22,21.84
4:10:32AM,-0.25,0.13,0.1,40.04,41.37,7.91
4:10:32AM,-0.24,0.18,0.07,45.43,53.62,-8.75
4:10:32AM,-0.24,0.21,0.03,54.18,58.73,-19.74
4:10:32AM,-0.24,0.3,0.01,61.81,64.4,-32.55
4:10:32AM,-0.3,0.37,0,61.6,65.52,-47.11
4:10:32AM,-0.32,0.4,-0.01,52.15,64.68,-61.46
4:10:32AM,-0.3,0.35,0.01,42.42,67.13,-70
4:10:32AM,-0.37,0.26,0.03,39.83,71.82,-83.58
4:10:32AM,-0.45,0.17,0,46.97,73.22,-91.84
4:10:32AM,-0.51,0.12,-0.06,60.34,79.24,-97.58
4:10:32AM,-0.58,0.09,-0.05,81.97,81.55,-104.44
4:10:32AM,-0.56,0.21,-0.1,86.38,100.94,-100.24
4:10:32AM,-0.66,0.54,-0.34,52.85,134.68,-95.13
4:10:32AM,-0.88,0.68,-0.59,40.6,109.97,-48.44
4:10:32AM,-1.46,0.59,-0.54,135.24,32.2,93.94
4:10:32AM,-2.09,1.18,-0.16,237.93,48.3,258.79
4:10:32AM,-2.82,2.46,-0.27,211.12,-35.07,258.72
4:10:32AM,-1.95,3.11,0.44,87.29,-99.61,86.73
4:10:32AM,-0.72,2.72,1,-19.67,-9.59,-100.45
4:10:32AM,-0.53,0.91,0.28,-105,50.54,-134.12
4:10:32AM,-0.76,0.06,-0.19,-54.39,47.46,-116.9
4:10:32AM,-0.83,-0.05,-0.22,-14.77,32.48,-114.38
4:10:32AM,-0.81,-0.05,-0.11,-0.84,35,-130.27
4:10:32AM,-0.73,-0.08,-0.1,6.72,47.95,-154.63
4:10:32AM,-0.65,-0.14,-0.08,21.21,65.87,-166.32
4:10:32AM,-0.61,-0.22,-0.12,43.19,90.37,-152.32
4:10:32AM,-0.67,-0.25,-0.17,62.16,103.46,-117.04
4:10:32AM,-0.77,-0.25,-0.24,82.6,103.25,-65.38
4:10:32AM,-0.85,-0.09,-0.28,89.32,98.07,-20.37
4:10:32AM,-0.93,0.11,-0.3,83.16,97.3,5.67
4:10:32AM,-0.99,0.28,-0.34,65.52,93.8,18.9
4:10:32AM,-1.06,0.43,-0.37,38.29,88.2,28.91
4:10:32AM,-1.11,0.56,-0.41,19.04,85.26,41.09
4:10:32AM,-1.16,0.72,-0.44,-0.42,79.31,53.34
4:10:32AM,-1.16,0.8,-0.44,-13.93,65.45,53.9
4:10:32AM,-1.05,0.71,-0.42,17.85,52.92,60.13
4:10:32AM,-0.92,0.7,-0.39,71.4,35.49,64.26
4:10:32AM,-0.81,0.75,-0.35,96.6,16.94,47.04
4:10:32AM,-0.72,0.79,-0.29,87.29,3.36,18.41
4:10:32AM,-0.66,0.77,-0.23,56.49,-5.39,-16.45
4:10:32AM,-0.62,0.69,-0.14,17.5,-2.59,-47.81
4:10:32AM,-0.61,0.58,-0.08,-17.22,16.38,-62.02
4:10:32AM,-0.65,0.53,-0.07,-43.68,40.39,-65.94
4:10:32AM,-0.71,0.5,-0.08,-67.2,59.5,-67.9
4:10:32AM,-0.75,0.45,-0.11,-77.35,68.11,-68.6
4:10:32AM,-0.76,0.41,-0.19,-82.04,65.03,-62.23
4:10:32AM,-0.72,0.37,-0.37,-85.26,59.64,-53.27
4:10:32AM,-0.71,0.39,-0.32,-91.56,51.73,-45.36
4:10:32AM,-0.74,0.46,-0.36,-97.72,41.58,-47.6
4:10:32AM,-0.73,0.53,-0.39,-108.29,38.64,-60.13
4:10:32AM,-0.74,0.47,-0.47,-106.4,39.55,-57.61
4:10:32AM,-0.72,0.31,-0.67,-69.37,28.21,-41.86
4:10:32AM,-0.66,0.27,-0.74,-13.16,-1.12,-20.09
4:10:32AM,-0.55,0.35,-0.73,23.38,-19.11,-1.05
4:10:32AM,-0.5,0.44,-0.72,38.64,-28,8.26
4:10:32AM,-0.49,0.48,-0.65,40.6,-19.11,10.64
4:10:32AM,-0.51,0.5,-0.58,40.95,7.77,2.94
4:10:32AM,-0.57,0.51,-0.52,39.06,41.72,-12.53
4:10:32AM,-0.74,0.52,-0.44,21.21,55.3,-32.55
4:10:32AM,-1.81,0.73,-0.03,-103.04,-131.04,-122.22
4:10:32AM,-1.34,0.25,0.48,-128.73,-180.67,-146.79
4:10:32AM,-0.78,-0.2,0.56,-72.94,-45.71,-47.18
4:10:32AM,-0.58,0.03,0.04,-87.64,53.97,-4.76
4:10:32AM,-0.63,0.19,-0.35,-49.63,73.71,-11.48
4:10:32AM,-0.8,0.33,-0.49,-3.29,48.86,-10.08
4:10:32AM,-1,0.49,-0.45,13.86,17.36,-11.83
4:10:32AM,-1.02,0.56,-0.27,11.83,-2.73,-14.84
4:10:32AM,-0.92,0.53,-0.14,3.01,-2.31,-16.66
4:10:32AM,-0.87,0.49,-0.14,-5.18,6.79,-17.5
4:10:32AM,-0.87,0.46,-0.24,-6.86,7.77,-15.47
4:10:32AM,-0.86,0.45,-0.35,6.79,-2.94,-12.6
4:10:32AM,-0.83,0.48,-0.28,14.42,-4.13,-13.51
4:10:32AM,-0.82,0.52,-0.22,15.47,3.71,-17.5
4:10:32AM,-0.87,0.54,-0.21,19.25,6.02,-22.19
4:10:32AM,-0.89,0.6,-0.23,24.43,0.63,-20.16
4:10:32AM,-0.86,0.63,-0.2,23.17,-4.06,-20.37
4:10:32AM,-0.82,0.6,-0.17,21.28,-2.87,-21.98
4:10:32AM,-0.81,0.49,-0.22,25.76,1.4,-22.26
4:10:32AM,-0.82,0.46,-0.32,38.08,2.24,-20.3
4:10:32AM,-0.86,0.46,-0.36,47.74,3.57,-20.37
4:10:32AM,-0.94,0.48,-0.35,50.89,2.52,-22.61
4:10:32AM,-1,0.47,-0.33,47.74,-2.52,-25.55
4:10:32AM,-1.02,0.47,-0.32,33.32,-6.37,-27.93
4:10:32AM,-1.01,0.45,-0.34,19.39,-1.05,-26.04
4:10:32AM,-1.02,0.45,-0.38,9.59,5.32,-22.05
4:10:32AM,-1.08,0.45,-0.36,-3.64,5.88,-22.68
4:10:32AM,-1.16,0.28,-0.33,-11.13,0.49,-24.08
4:10:32AM,-1.25,0.16,-0.34,-9.94,-4.55,-21.56
4:10:32AM,-1.36,0.15,-0.36,-3.36,-5.81,-18.48
4:10:32AM,-1.56,0.21,-0.32,2.24,-14.35,-14.35
4:10:32AM,-1.62,0.29,-0.24,3.36,-22.54,-8.75
4:10:32AM,-1.52,0.39,-0.25,10.5,-34.58,-6.02
4:10:32AM,-1.3,0.49,-0.29,21.49,-46.27,-5.25
4:10:32AM,-1.17,0.58,-0.25,20.79,-48.72,-6.58
4:10:32AM,-1.09,0.58,-0.18,11.76,-45.57,-10.57
4:10:32AM,-1.05,0.53,-0.09,3.08,-42.07,-11.55
4:10:32AM,-1.03,0.5,-0.04,-7.63,-40.53,-9.52
4:10:32AM,-1.02,0.47,-0.03,-15.33,-43.26,-3.22
4:10:32AM,-0.97,0.47,-0.04,-16.45,-48.09,5.88
4:10:32AM,-0.9,0.49,-0.05,-14.77,-50.26,13.72
4:10:32AM,-0.86,0.51,-0.05,-14.21,-49.7,22.96
4:10:32AM,-0.89,0.54,-0.05,-14,-45.15,31.36
4:10:32AM,-0.97,0.59,-0.06,-14.63,-43.33,40.6
4:10:32AM,-1.01,0.62,-0.07,-14.28,-44.94,51.66
4:10:32AM,-1.02,0.67,-0.07,-11.2,-49,62.16
4:10:32AM,-1.01,0.72,-0.05,-10.22,-54.67,70.56
4:10:32AM,-1,0.74,-0.02,-10.64,-59.92,76.72
4:10:32AM,-1,0.7,-0.01,-5.18,-66.29,83.51
4:10:32AM,-1.01,0.64,-0.04,3.99,-70.63,91.98
4:10:32AM,-1.01,0.59,-0.07,12.67,-72.59,93.03
4:10:32AM,-1.05,0.39,-0.1,9.31,-76.09,89.95
4:10:32AM,-1.05,0.41,-0.11,-3.71,-72.73,86.24
4:10:32AM,-1.1,0.32,-0.16,-14.77,-68.04,80.36
4:10:32AM,-1.14,0.26,-0.19,-19.53,-70,73.08
4:10:32AM,-1.15,0.22,-0.21,-22.89,-73.85,63.07
4:10:32AM,-1.17,0.16,-0.24,-21.28,-85.47,53.2
4:10:32AM,-1.15,0.1,-0.22,-15.47,-104.16,56.07
4:10:32AM,-1.12,0.05,-0.18,-6.3,-125.02,62.86
4:10:32AM,-1.09,0.1,-0.04,-10.08,-139.09,74.06
4:10:32AM,-1.04,0.18,0.19,-31.22,-136.36,81.34
4:10:32AM,-0.98,0.23,0.26,-45.57,-121.59,80.99
4:10:32AM,-0.9,0.26,0.25,-43.54,-104.93,78.19
4:10:32AM,-0.79,0.29,0.16,-56.21,-82.74,76.23
4:10:32AM,-0.71,0.32,0.03,-49.14,-62.72,74.2
4:10:32AM,-0.75,0.44,-0.06,-37.59,-59.08,73.36
4:10:32AM,-0.77,0.52,-0.05,-28.28,-57.05,86.66
4:10:32AM,-0.79,0.72,-0.02,-32.69,-53.48,111.79
4:10:32AM,-0.87,0.96,-0.01,-59.85,-53.69,134.33
4:10:32AM,-0.95,1.07,-0.01,-65.94,-59.36,145.74
4:10:32AM,-0.99,1.06,0.07,-61.04,-68.88,116.55
4:10:32AM,-0.92,0.51,0.15,-72.03,-64.96,109.97
4:10:32AM,-0.86,0.25,0.15,-48.65,-53.13,107.24
4:10:32AM,-0.8,0.19,0.11,-28.77,-45.78,106.33
4:10:32AM,-0.76,0.19,0.11,-22.82,-42.14,105.98
4:10:32AM,-0.75,0.23,0.1,-27.65,-42.35,102.69
4:10:32AM,-0.71,0.23,0.09,-25.62,-42.84,98.7
4:10:32AM,-0.67,0.26,0.08,-17.85,-40.32,95.13
4:10:32AM,-0.64,0.33,0.1,-12.53,-34.86,88.34
4:10:32AM,-0.64,0.35,0.12,-10.22,-32.13,80.36
4:10:32AM,-0.62,0.31,0.13,-8.89,-29.12,72.8
4:10:32AM,-0.58,0.27,0.13,-5.81,-25.55,65.94
4:10:32AM,-0.52,0.24,0.14,-0.21,-21.07,58.8
4:10:32AM,-0.47,0.23,0.15,7.35,-15.89,51.94
4:10:32AM,-0.42,0.23,0.15,15.12,-8.61,42.7
4:10:32AM,-0.37,0.2,0.13,25.48,-0.07,33.39
4:10:32AM,-0.34,0.18,0.09,37.1,9.24,24.5
4:10:32AM,-0.31,0.26,0.08,43.68,15.68,20.16
4:10:32AM,-0.31,0.36,0.08,45.5,22.19,11.83
4:10:32AM,-0.34,0.43,0.06,44.38,29.89,-1.75
4:10:32AM,-0.31,0.42,0.06,45.08,36.47,-6.79
4:10:32AM,-0.32,0.44,0,50.89,44.73,-18.97
4:10:32AM,-0.33,0.46,-0.01,51.87,48.51,-27.3
4:10:32AM,-0.38,0.46,-0.02,52.43,52.15,-37.24
4:10:32AM,-0.38,0.47,-0.03,55.09,56.07,-46.2
4:10:32AM,-0.41,0.5,-0.03,59.08,58.8,-56.63
4:10:32AM,-0.44,0.53,-0.05,59.01,61.74,-68.18
4:10:32AM,-0.45,0.51,-0.08,57.54,61.46,-80.57
4:10:32AM,-0.5,0.49,-0.05,59.99,61.32,-92.61
4:10:32AM,-0.5,0.48,-0.01,69.86,58.03,-92.12
4:10:32AM,-0.47,0.77,0.15,71.54,12.74,-73.43
4:10:32AM,-0.5,1.23,0.69,36.82,-34.72,-47.67
4:10:32AM,-0.92,1.36,1.01,20.44,32.55,11.06
4:10:32AM,-2.14,1.81,0.25,58.52,93.52,58.31
4:10:32AM,-2.77,2.52,-0.13,24.99,8.26,30.73
4:10:32AM,-1.77,2.44,0.47,-56.49,-47.46,-44.24
4:10:32AM,-0.68,0.83,0.29,-78.19,-18.34,-60.48
4:10:32AM,-0.41,0.17,0.03,-7.84,18.41,-68.25
4:10:32AM,-0.41,-0.08,0.04,40.67,35.28,-70.49
4:10:32AM,-0.5,-0.15,0.04,59.64,28.35,-74.55
4:10:32AM,-0.56,-0.11,-0.04,65.31,17.85,-82.67
4:10:32AM,-0.58,-0.06,-0.12,74.9,51.24,-86.66
4:10:32AM,-0.64,-0.03,-0.16,92.12,47.04,-83.86
4:10:32AM,-0.75,0.08,-0.08,100.59,51.73,-82.32
4:10:32AM,-0.81,0.35,-0.12,82.6,62.65,-75.18
4:10:32AM,-0.95,0.59,-0.21,56.42,69.79,-52.78
4:10:32AM,-1.22,0.97,-0.36,59.08,79.94,5.32
4:10:32AM,-1.51,1.17,-0.58,102.55,57.12,41.3
4:10:32AM,-1.44,1.49,-0.59,147.84,-4.27,16.03
4:10:32AM,-0.95,1.43,-0.24,160.23,-60.76,-31.78
4:10:32AM,-0.62,1.28,0.3,142.87,-38.36,-65.38
4:10:32AM,-0.55,0.94,0.47,102.13,13.72,-64.33
4:10:32AM,-0.73,0.63,0.16,40.32,56.35,-61.25
4:10:32AM,-0.89,0.44,-0.14,11.83,79.52,-70.63
4:10:32AM,-0.95,0.39,-0.25,-11.41,89.95,-78.12
4:10:32AM,-0.93,0.3,-0.28,-11.48,93.17,-77.28
4:10:32AM,-0.87,0.2,-0.28,13.16,96.81,-71.05
4:10:32AM,-0.84,0.2,-0.28,40.18,98.35,-63.49
4:10:32AM,-0.85,0.25,-0.28,47.88,96.11,-49.49
4:10:32AM,-0.89,0.33,-0.29,34.93,89.74,-38.08
4:10:32AM,-0.93,0.37,-0.3,13.86,79.8,-24.57
4:10:32AM,-0.96,0.42,-0.3,0.07,67.83,-14.56
4:10:32AM,-0.95,0.48,-0.27,-6.72,62.09,-10.29
4:10:32AM,-0.92,0.53,-0.25,-14.77,59.08,-8.33
4:10:32AM,-0.88,0.58,-0.25,-17.22,55.02,-9.73
4:10:32AM,-0.84,0.75,-0.26,-16.45,47.11,-17.36
4:10:32AM,-0.8,0.66,-0.28,-15.26,35.35,-29.4
4:10:32AM,-0.77,0.68,-0.24,-13.93,20.86,-48.86
4:10:32AM,-0.73,0.64,-0.17,-19.25,12.53,-64.26
4:10:32AM,-0.69,0.56,-0.12,-27.58,17.57,-68.04
4:10:32AM,-0.68,0.47,-0.14,-29.82,28.07,-59.43
4:10:32AM,-0.69,0.44,-0.19,-31.92,34.58,-49.63
4:10:32AM,-0.72,0.48,-0.23,-53.41,36.61,-45.36
4:10:32AM,-0.73,0.45,-0.27,-73.5,35.63,-46.34
4:10:32AM,-0.72,0.43,-0.29,-86.94,35,-51.52
4:10:32AM,-0.67,0.45,-0.33,-100.87,40.18,-59.15
4:10:32AM,-0.63,0.4,-0.51,-102.76,41.79,-56.14
4:10:32AM,-0.65,0.31,-0.74,-67.76,18.97,-39.76
4:10:32AM,-0.6,0.3,-0.79,-25.97,-18.76,-17.43
4:10:32AM,-0.55,0.36,-0.72,5.46,-24.78,-2.66
4:10:32AM,-0.54,0.52,-0.63,17.43,-5.81,-7.35
4:10:32AM,-0.52,0.56,-0.54,18.69,34.93,-15.89
4:10:32AM,-0.51,0.57,-0.47,12.32,78.82,-20.51
4:10:32AM,-0.78,0.45,-0.48,41.37,49.91,-35.28
4:10:32AM,-1.34,0.66,-0.07,46.13,-114.45,-72.87
4:10:32AM,-0.96,0.41,0.71,7.42,-98.56,-58.24
4:10:32AM,-0.66,0.43,0.63,-70.56,11.06,-27.09
4:10:32AM,-0.63,0.39,0.08,-89.32,67.2,-26.25
4:10:32AM,-0.72,0.33,-0.35,-66.22,72.59,-25.13
4:10:32AM,-0.86,0.34,-0.57,-36.19,40.53,-6.93
4:10:32AM,-0.97,0.41,-0.45,-10.71,7.63,-5.88
4:10:32AM,-1,0.42,-0.18,-7.07,2.8,-11.41
4:10:32AM,-0.9,0.35,-0.1,-11.83,13.58,-9.31
4:10:32AM,-0.86,0.34,-0.21,-11.2,18.48,-5.39
4:10:32AM,-0.93,0.33,-0.32,9.52,4.13,-7
4:10:32AM,-0.91,0.37,-0.3,28.28,-5.46,-8.96
4:10:32AM,-0.87,0.44,-0.23,25.2,-2.45,-11.34
4:10:32AM,-0.83,0.49,-0.21,19.46,2.1,-11.76
4:10:32AM,-0.8,0.57,-0.23,17.43,4.62,-11.34
4:10:32AM,-0.77,0.62,-0.23,17.08,7.14,-11.69
4:10:32AM,-0.82,0.65,-0.25,17.5,9.24,-13.09
4:10:32AM,-0.89,0.62,-0.3,20.44,4.69,-14.56
4:10:32AM,-0.89,0.61,-0.31,19.25,0,-15.54
4:10:32AM,-0.85,0.55,-0.35,20.02,-3.57,-14.14
4:10:32AM,-0.79,0.52,-0.34,23.8,-5.95,-13.44
4:10:32AM,-0.78,0.49,-0.29,23.38,-4.13,-16.38
4:10:32AM,-0.79,0.43,-0.27,20.51,0.35,-18.9
4:10:32AM,-0.88,0.41,-0.3,22.33,2.73,-22.54
4:10:32AM,-0.98,0.42,-0.31,24.71,1.19,-26.95
4:10:32AM,-1.03,0.45,-0.31,25.48,-1.82,-26.11
4:10:32AM,-1.02,0.49,-0.32,20.3,-5.32,-24.15
4:10:32AM,-0.98,0.5,-0.33,13.16,-4.69,-22.89
4:10:32AM,-0.97,0.47,-0.37,4.2,-3.78,-23.24
4:10:32AM,-0.94,0.37,-0.39,0.49,-3.08,-21.7
4:10:32AM,-0.93,0.27,-0.41,4.76,1.54,-14.49
4:10:32AM,-1.06,0.3,-0.43,13.02,7,-9.38
4:10:32AM,-1.25,0.34,-0.43,18.48,2.38,-8.68
4:10:32AM,-1.41,0.38,-0.38,17.85,-7.21,-6.23
4:10:32AM,-1.44,0.39,-0.28,15.26,-16.66,-5.18
4:10:32AM,-1.34,0.41,-0.29,21.7,-23.24,-4.27
4:10:32AM,-1.23,0.47,-0.31,29.54,-29.12,-6.44
4:10:32AM,-1.16,0.52,-0.33,26.67,-27.86,-10.71
4:10:32AM,-1.09,0.53,-0.34,18.76,-22.96,-13.65
4:10:32AM,-1.07,0.52,-0.3,7.35,-25.13,-16.24
4:10:32AM,-1.04,0.5,-0.17,-4.76,-30.38,-15.4
4:10:32AM,-1.04,0.51,-0.06,-16.66,-28.98,-11.06
4:10:32AM,-1.05,0.54,-0.03,-21.07,-28.49,-4.97
